,name,artist,rating,genre,year
0,Pharoah,Pharoah Sanders,8.9,Jazz,2023
1,The Land Is Inhospitable and So Are We,Mitski,8.1,Rock,2023
2,Black Rainbows,Corinne Bailey Rae,8.0,Pop/R&B,2023
3,66689 Blvd Prequel,Kipp Stone,7.5,Rap,2023
4,Bird Machine,Sparklehorse,7.6,Rock,2023
5,BB/ANG3L,Tinashe,7.6,Pop/R&B,2023
6,Drift,Gaika,6.9,Rap,2023
7,CITTA’ ’93,Les Rallizes Dénudés,8.2,Temporal Drift,2023
8,Hit Parade,Róisín Murphy,8.2,Pop/R&B / Electronic,2023
9,How Do You Sleep at Night?,Teezo Touchdown,5.3,Rap,2023
10,Teghnojoyg,"Babe, Terror",8.0,self-released,2023
11,Sidharth,Sid Sriram,6.8,Pop/R&B / Rock,2023
12,Mid Air,Romy,7.0,Electronic / Pop/R&B,2023
13,Talàn,Raphael Rogiński,8.0,Experimental,2023
14,Bewitched,Laufey,7.0,Jazz,2023
15,Brand New Soul,Angel Du$t,6.9,Rock,2023
16,GUTS,Olivia Rodrigo,8.0,Pop/R&B,2023
17,Come With Fierce Grace,Alabaster DePlume,7.5,Jazz,2023
18,Techxodus,Speaker Music,7.7,Electronic,2023
19,Color Me Country,Linda Martell,7.5,Folk/Country,1970
20,Music for KIDS,The Folk Implosion,8.0,Experimental / Rock,2023
21,Playing Robots Into Heaven,James Blake,7.8,Pop/R&B,2023
22,The King,Anjimile,7.5,Folk/Country / Experimental,2023
23,i’m so lucky EP,Spirit of the Beehive,7.0,Rock,2023
